id;job_id/id;department_id/id;rank;name;lastname;firstname;middlename;gender;identification_id;mobile_phone;state;birthday
1018622414;a1234-j0001;a1234-d002;полковник;ПЕКЕЛЬНИЙ Валерій Антатолійович;ПЕКЕЛЬНИЙ;Валерій;Антатолійович;male;1018622414;+380636185731;Field;21.01.1996
2715591876;a1234-j0002;a1234-d002;підполковник;ДРОНИК Тимур Нуманжонович;ДРОНИК;Тимур;Нуманжонович;male;2715591876;+380676989767;Vocation;01.12.1987
2725762440;a1234-j0003;a1234-d002;капітан;БЕЗРУКОВ Михайло-Юрій Володимирвич;БЕЗРУКОВ;Михайло-Юрій;Володимирвич;male;2725762440;+380675753743;Field;05.11.1982
2766268864;a1234-j0004;a1234-d002;майстер-сержант;ДЕШЕВИХ Роман Семенович;ДЕШЕВИХ;Роман;Семенович;male;2766268864;+380505779089;Field;14.05.1988
1680680672;a1234-j0007;a1234-d003;капітан юстиції;ЛИТВІНЕНКО Олексій Зіновійович;ЛИТВІНЕНКО;Олексій;Зіновійович;male;1680680672;+380675644401;Field;01.06.1996
1443413476;a1234-j0008;a1234-d003;капітан юстиції;ОНИЩАК Владилен Сариєвич;ОНИЩАК;Владилен;Сариєвич;male;1443413476;+380635253228;Trip;20.04.1988
2439196051;a1234-j0009;a1234-d004;лейтенант;КОСИЧКІНА Юлія Іванівна;КОСИЧКІНА;Юлія;Іванівна;female;2439196051;+380669981751;Field;16.12.1998
2753145174;a1234-j0011;a1234-d005;полковник;ГАЙДАЙ Олег Остапович;ГАЙДАЙ;Олег;Остапович;male;2753145174;+380669533251;Field;15.03.1995
1372313502;a1234-j0012;a1234-d005;підполковник;МІЩЕКО Рустам Йосифович;МІЩЕКО;Рустам;Йосифович;male;1372313502;+380661580312;Field;25.12.1999
1651717725;a1234-j0013;a1234-d005;майор;УФІМЦЕВ Іхтіяр Володимирович;УФІМЦЕВ;Іхтіяр;Володимирович;male;1651717725;+380631405858;Field;06.12.1998
2585085735;a1234-j0014;a1234-d006;майор;ХАЛЕПА Василь-Сергій Ілкович;ХАЛЕПА;Василь-Сергій;Ілкович;male;2585085735;+380678335719;Field;29.03.1980
1192529559;a1234-j0015;a1234-d006;капітан;КУЧЕР Умар Михайлович;КУЧЕР;Умар;Михайлович;male;1192529559;+380667683866;Vocation;03.05.1999
2262332808;a1234-j0017;a1234-d006;капітан;ЄВЧИН Микола Юсуфович;ЄВЧИН;Микола;Юсуфович;male;2262332808;+380678685401;Field;13.06.1991
2044014772;a1234-j0018;a1234-d006;головний сержант;ШПАРЬОВ Валерій Тихонович;ШПАРЬОВ;Валерій;Тихонович;male;2044014772;+380501758916;Field;01.02.1980
2316656215;a1234-j0019;a1234-d007;підполковник;ОДУД Сергій Орестович;ОДУД;Сергій;Орестович;male;2316656215;+380664908609;Field;02.12.1999
2691433465;a1234-j0021;a1234-d008;майор;СИНЖЕРЯН Маіл Єфірович;СИНЖЕРЯН;Маіл;Єфірович;male;2691433465;+380508665584;Field;01.09.1985
2906800801;a1234-j0025;a1234-d009;майор;БУТОВ Даніїл Петрович;БУТОВ;Даніїл;Петрович;male;2906800801;+380502302287;Field;08.04.1979
2606137442;a1234-j0026;a1234-d009;старший лейтенант;КОРОТКОВ Альберт Ілліч;КОРОТКОВ;Альберт;Ілліч;male;2606137442;+380631780245;Field;03.02.1994
1855252886;a1234-j0028;a1234-d010;майор;ЛИТВИНЮК Елшан Гарійович;ЛИТВИНЮК;Елшан;Гарійович;male;1855252886;+380504054798;Trip;07.01.1994
2188554036;a1234-j0029;a1234-d010;майор;ЮШКЕВИЧ Омелян Григорійович;ЮШКЕВИЧ;Омелян;Григорійович;male;2188554036;+380505242585;Field;08.10.1995
2075856063;a1234-j0029;a1234-d010;капітан;НАЗАРИШИН Сурен Йосифович;НАЗАРИШИН;Сурен;Йосифович;male;2075856063;+380638373356;Field;30.06.1994
2491656629;a1234-j0031;a1234-d010;старший лейтенант;УСТИНОВ Коста Вячеславович;УСТИНОВ;Коста;Вячеславович;male;2491656629;+380668224263;Field;05.09.1999
1765369642;a1234-j0033;a1234-d011;молодший лейтенант;САЛОГУБ Нікіта Васильович;САЛОГУБ;Нікіта;Васильович;male;1765369642;+380674438774;Vocation;29.03.1976
2004291744;a1234-j0034;a1234-d012;майор;РИСЬЄВ Костянтин Анатолійович;РИСЬЄВ;Костянтин;Анатолійович;male;2004291744;+380506990276;Field;23.09.1986
2768177990;a1234-j0035;a1234-d012;капітан;ПОГОРЄЛКО Вʼячеслав Опанасович;ПОГОРЄЛКО;Вʼячеслав;Опанасович;male;2768177990;+380636716496;Field;11.11.1990
2815018675;a1234-j0037;a1234-d013;капітан;БРЕУС Федор Михйлович;БРЕУС;Федор;Михйлович;male;2815018675;+380678050007;Field;18.03.1982
2820764485;a1234-j0038;a1234-d013;лейтенант;ЧЕРКАВСЬКИЙ Арсен Рудольфович;ЧЕРКАВСЬКИЙ;Арсен;Рудольфович;male;2820764485;+380672138161;Field;10.01.1981
1473256066;a1234-j0038;a1234-d013;старший лейтенант;ЄНЬ Олесь Фарідович;ЄНЬ;Олесь;Фарідович;male;1473256066;+380673362975;Field;16.11.1985
1637429113;a1234-j0038;a1234-d013;лейтенант;ШКЛЯРУК Федор Мирославович;ШКЛЯРУК;Федор;Мирославович;male;1637429113;+380504250414;Field;04.08.1988
1222217776;a1234-j0038;a1234-d013;капітан;ТЕРНАВСЬКИЙ Мірча Йосифович;ТЕРНАВСЬКИЙ;Мірча;Йосифович;male;1222217776;+380661914025;Field;15.08.1996
1876427998;a1234-j0042;a1234-d013;молодший сержант;ЖАЙВОРОН Валентин Геннадійович;ЖАЙВОРОН;Валентин;Геннадійович;male;1876427998;+380674869521;Field;10.05.1984
2644377995;a1234-j0043;a1234-d014;молодший лейтенант;ЧАПЛЮК Дмитро Валерійович;ЧАПЛЮК;Дмитро;Валерійович;male;2644377995;+380506286653;Field;27.03.1979
2306180177;a1234-j0045;a1234-d014;солдат;ПЕРМЯКОВ Мар'ян Віталійович;ПЕРМЯКОВ;Мар'ян;Віталійович;male;2306180177;+380675759512;Field;24.01.1979
2909829289;a1234-j0046;a1234-d015;майор;КІЦИНЕНКО Інал Анатолійович;КІЦИНЕНКО;Інал;Анатолійович;male;2909829289;+380679729543;Field;06.03.1985
1775327741;a1234-j0047;a1234-d015;капітан;БОДЮК Микита Тофикович;БОДЮК;Микита;Тофикович;male;1775327741;+380669191222;Field;15.07.1988
2353557767;a1234-j0049;a1234-d015;старший солдат;КОРОБКА Альона Володимирівна;КОРОБКА;Альона;Володимирівна;female;2353557767;+380666744858;Field;21.11.1977
