id,job_id/id,rank_id/id,last_name,first_name,middle_name,callsign,gender,identification_id,mobile_phone,birthday
1861665592,military_job.a1234-j0001,military_rank.rank_300,Горбач,Роланд,Костянтинович,Лісовий,male,1861665592,050 295 6068,1982-02-07
1438191558,military_job.a1234-j0002,military_rank.rank_290,Яремчук,Степан,Іларіонович,Беркут,male,1438191558,050 175 0769,1987-02-24
2229087461,military_job.a1234-j0003,military_rank.rank_220,Лисенко,Костянтин,В'ячеславович,Лісовий,male,2229087461,063 110 8331,1992-01-11
1509531308,military_job.a1234-j0004,military_rank.rank_120,Гаврилюк,Едуард,Опанасович,Добрітник,male,1509531308,067 643 6666,1998-01-22
2910860464,military_job.a1234-j0007,military_rank.rank_230,Левченко,Віктор,Фарідович,Червоний,male,2910860464,063 565 6162,1999-08-21
2801381593,military_job.a1234-j0008,military_rank.rank_230,Максимчук,Єгор,Вікторович,Сивий,male,2801381593,066 949 5070,1993-08-11
1142590342,military_job.a1234-j0009,military_rank.rank_160,Кузьменко,Леся,Євгеніївна,Граната,female,1142590342,067 353 7517,1984-12-24
2294269585,military_job.a1234-j0011,military_rank.rank_300,Гончар,Іродіон,Фарідович,Барвінок,male,2294269585,066 594 6446,1976-09-19
1963975419,military_job.a1234-j0012,military_rank.rank_290,Литвин,Віктор,Мхайлович,Княгиня,male,1963975419,063 411 7230,1996-10-03
2013400215,military_job.a1234-j0013,military_rank.rank_250,Литвиненко,Микита,Гочайович,Іскра,male,2013400215,066 244 9608,1988-10-20
1000206160,military_job.a1234-j0014,military_rank.rank_250,Ткачук,Назар,Тарасович,Карпати,male,1000206160,063 589 8212,1995-11-12
2256947570,military_job.a1234-j0015,military_rank.rank_220,Литвиненко,Сорін,Олегович,Десна,male,2256947570,067 325 0796,1986-03-31
2212937709,military_job.a1234-j0017,military_rank.rank_220,Лисенко,Петро,Айигович,Захисник,male,2212937709,050 423 0496,1983-10-23
2755613596,military_job.a1234-j0018,military_rank.rank_100,Мельничук,Салават,В'ячеславович,Карпати,male,2755613596,066 755 5541,1987-05-28
2948848638,military_job.a1234-j0019,military_rank.rank_290,Литвиненко,Расул,Радувич,Сонячний,male,2948848638,050 154 1554,1978-08-03
2278396287,military_job.a1234-j0021,military_rank.rank_250,Корнієнко,Вадим,Іларіонович,Слов'яночка,male,2278396287,067 974 3599,1982-05-03
2408643044,military_job.a1234-j0025,military_rank.rank_250,Мироненко,Герман,Радувич,Вільний,male,2408643044,067 147 4167,1993-05-03
1496327114,military_job.a1234-j0026,military_rank.rank_190,Яремчук,Лазар,Геранович,Сагайдачний,male,1496327114,050 870 7396,1997-10-22
2149180778,military_job.a1234-j0028,military_rank.rank_250,Марченко,Салават,Франкович,Левко,male,2149180778,063 409 3251,1988-02-14
1697256259,military_job.a1234-j0029,military_rank.rank_250,Іваненко,Нікіта,Еугінєюсович,Барвінок,male,1697256259,050 174 0786,1987-07-09
2545577600,military_job.a1234-j0029,military_rank.rank_220,Яремчук,Вʼячеслав,Мхайлович,Синьоока,male,2545577600,066 224 7563,1991-02-08
1267406621,military_job.a1234-j0031,military_rank.rank_190,Лисенко,Зайір,Тарасович,Славута,male,1267406621,050 773 6400,1999-08-01
1396392709,military_job.a1234-j0033,military_rank.rank_150,Лисенко,Федор,Олексндрович,Козак,male,1396392709,067 909 4028,1991-08-19
1109988654,military_job.a1234-j0034,military_rank.rank_250,Яковенко,Вадим,Миколайович,Червоний,male,1109988654,066 786 3717,1996-06-17
2054052808,military_job.a1234-j0036,military_rank.rank_220,Кучеренко,Іслам,Васильович,Лелека,male,2054052808,063 341 3337,1997-11-28
2182881601,military_job.a1234-j0037,military_rank.rank_220,Гаврилюк,Іван,Михайлович,Лев,male,2182881601,066 470 1613,1988-02-10
1687676650,military_job.a1234-j0038,military_rank.rank_160,Горбач,Юрій,Дарійович,Лісник,male,1687676650,063 879 3930,1979-04-04
2905375034,military_job.a1234-j0039,military_rank.rank_190,Гришин,Лазар,Віленович,Славута,male,2905375034,067 101 9230,1980-08-02
1182129859,military_job.a1234-j0040,military_rank.rank_160,Литвиненко,Умар,Микитович,Слава,male,1182129859,050 466 0767,1989-09-06
2064390828,military_job.a1234-j0041,military_rank.rank_220,Литвиненко,Олександр,Джемалович,Сонце,male,2064390828,063 316 1638,1993-12-21
2624622519,military_job.a1234-j0042,military_rank.rank_70,Васильєв,Дмитрій,Горхмазович,Сокіл-стрілець,male,2624622519,063 419 5803,1990-07-27
1036963874,military_job.a1234-j0043,military_rank.rank_150,Максимчук,Коста,Русланович,Північний,male,1036963874,063 432 0349,1992-10-10
1491114845,military_job.a1234-j0045,military_rank.rank_30,Лисенко,Віктор,Андрійович,Сивий,male,1491114845,063 911 8361,1994-06-19
1988094274,military_job.a1234-j0046,military_rank.rank_250,Лисенко,Аркадій,Таіровіч,Степ,male,1988094274,066 244 9637,1995-01-25
2364783714,military_job.a1234-j0047,military_rank.rank_220,Мироненко,Віталій,Федорович,Захисник,male,2364783714,066 578 0695,1985-11-12
2493641036,military_job.a1234-j0049,military_rank.rank_50,Лисенко,Ілона,Вікторівна,Танкістка,female,2493641036,067 741 7199,1977-04-30
1222954570,military_job.a1234-j0050,military_rank.rank_150,Грицюк,Маргарита,Федорівна,Сонце,female,1222954570,066 117 4247,1981-03-06
