job_id/id;department_id/id;rank;lastname;firstname;lastname2;gender;identification_id;state
a1234-j0001;a1234-d002;полковник;ХОЛОХ;Любомир;Тарієлович;male;2037443608;Field
a1234-j0002;a1234-d002;підполковник;БАБАК;Василь;Олексндрович;male;2363352971;Vocation
a1234-j0003;a1234-d002;капітан;КРИВОРУЧЕНКО;Микита;Федорович;male;1976673980;Field
a1234-j0004;a1234-d002;майстер-сержант;САПА;Богдан;Опанасович;male;2652166879;Field
a1234-j0007;a1234-d003;капітан юстиції;ТЮТЮННИК;Арнольд;Германович;male;2940953621;Field
a1234-j0008;a1234-d003;капітан юстиції;КОБЦЕВ;Фірад;Ігоревич;male;1851151367;Trip
a1234-j0009;a1234-d004;лейтенант;ЛЕЛЮК;Валерія;В’ячеславівна;female;2889477906;Field
a1234-j0011;a1234-d005;полковник;СПАРВАРТ;Олег;Мхайлович;male;1273313472;Field
a1234-j0012;a1234-d005;підполковник;АГАРКОВ;Тимофій;Єгорович;male;2522298991;Field
a1234-j0013;a1234-d005;майор;ДІДОКА;Тимур;Володимирович;male;1206480133;Field
a1234-j0014;a1234-d006;майор;ВОЛКОВ;Леонід;Денисович;male;1631369667;Field
a1234-j0015;a1234-d006;капітан;ЗАГНЄЙ;Лазар;Таіровіч;male;1049092760;Vocation
a1234-j0017;a1234-d006;капітан;ЛОЗА;Веніамін;Гаврилович;male;2835646518;Field
a1234-j0018;a1234-d006;головний сержант;МАРХИВКО;Микита;Наільович;male;2266554561;Field
a1234-j0019;a1234-d007;підполковник;ДУМА;Богдан;Резович;male;2752138500;Field
a1234-j0022;a1234-d008;майор;КОРЧМА;Тимофій;Анатолійович;male;1847672152;Field
a1234-j0025;a1234-d009;майор;ГУМЕННИЙ;Мар'ян;Тарієлович;male;2850854353;Field
a1234-j0026;a1234-d009;старший лейтенант;БУТОВ;Єгор;Леонідович;male;1104635631;Field
a1234-j0028;a1234-d010;майор;АГАРКОВ;Микита;Любомирович;male;1960116965;Trip
a1234-j0029;a1234-d010;майор;КОШЕВИЙ;Владислав;Абдулфат огли;male;1471722085;Field
a1234-j0030;a1234-d010;капітан;БЕЗБОРОДОВ;Нікіта;Веніамінович;male;2200432651;Field
a1234-j0031;a1234-d010;старший лейтенант;АВЄЗОВ;Ярослав;Станіславович;male;2289706068;Field
a1234-j0033;a1234-d011;молодший лейтенант;ШЕРЕТ;Костянтин;Михйлович;male;2227820314;Vocation
a1234-j0034;a1234-d012;майор;ЗАХАРЕВСЬКИЙ;Геннадій;Сергійович;male;2396946459;Field
a1234-j0036;a1234-d012;капітан;СОЛОХА;Федір;Михйлович;male;1930416881;Field
a1234-j0037;a1234-d013;капітан;ЛАВРИК;Тимофій;Дмитрович;male;2726629519;Field
a1234-j0038;a1234-d013;лейтенант;ЯНИЦЬКИЙ;Назарій;Мефодійович;male;2822735397;Field
a1234-j0039;a1234-d013;старший лейтенант;ПОЛНСЬКИЙ;Любомир;Віталійович;male;2153079367;Field
a1234-j0040;a1234-d013;лейтенант;КАРНАУХОВ;Віктор;Валерійович;male;2815446992;Field
a1234-j0041;a1234-d013;капітан;МАЗУРИК;Володимир;Франкович;male;2420872586;Field
a1234-j0042;a1234-d013;молодший сержант;ВОЗНЕНКО;Василь;Веніамінович;male;2152758844;Field
a1234-j0043;a1234-d014;молодший лейтенант;ФОМІН;Вячеслав;Єфірович;male;1489249480;Field
a1234-j0045;a1234-d014;солдат;ЛУЦАК;Вячеслав;Германович;male;2662843504;Field
a1234-j0046;a1234-d015;майор;ЯНИЦЬКИЙ;Валерій;Франкович;male;2103628302;Field
a1234-j0047;a1234-d015;капітан;ПРУДИВУС;Іродіон;Ігоревич;male;2830080852;Field
a1234-j0049;a1234-d015;старший солдат;СУШКО;Маргарита;Миколаївна;female;2561262635;Field
a1234-j0050;a1234-d016;молодший лейтенант;БЕЗБАБНА;Ілона;Петрівна;female;1089687443;Field
a1234-j0051;a1234-d016;старший солдат;ДУДНИК;Галина;Юріївна;female;2029073926;Field
a1234-j0052;a1234-d016;старший солдат;БОРИСЕВИЧ;Людмила;Григорівна;female;1450362946;Field
a1234-j0053;a1234-d017;старший лейтенант;ДЕМЕНТЬЄВ;Енвер;Васильльович;male;1530117468;Field
a1234-j0054;a1234-d017;солдат;СТАСЮК;Дамір;Амангельдийович;male;2029586238;Field
a1234-j0057;a1234-d019;підполковник;ХОРУЖИЙ;Василь-Сергій;Фарідович;male;2246440442;Field
a1234-j0058;a1234-d019;старший лейтенант;ПОКІТКО;Ілля;Львович;male;1023070292;Trip
a1234-j0059;a1234-d020;майор;ТУРА;Мар'ян;Миронович;male;1135642371;Field
a1234-j0060;a1234-d020;майор;ВАСЮХІН;Станіслав;Веніамінович;male;2200065659;Field
a1234-j0061;a1234-d020;лейтенант;КОРЧИНСЬКИЙ;Святослав;Маргутович;male;1170408510;Field
a1234-j0064;a1234-d020;старший лейтенант;БЕЗБОРОДОВ;Єгор;Богданович;male;2817523318;Field
a1234-j0065;a1234-d020;працівник ЗСУ;БАБЕНКО;Анна;Федорівна;female;1077263642;
a1234-j0066;a1234-d021;підполковник;ВАХУЛА;Арсен;Гурамович;male;2865395340;Field
a1234-j0069;a1234-d021;лейтенант;БРОВІН;Олег;Аббуль;male;2184150149;Field
a1234-j0070;a1234-d021;капітан;ПЕТРИК;Дорін;Ростиславович;male;1785727478;Field
a1234-j0071;a1234-d021;підполковник;БОЖУК;Кирило;Зайірович;male;2768167117;Field
a1234-j0072;a1234-d022;майор;СЛОНЬ;Гуванч;Йосипович;male;1422455254;Field
a1234-j0074;a1234-d023;полковник;ЩЕРБАКОВ;Владислав;Микитович;male;2026454483;Field
a1234-j0075;a1234-d023;капітан;ШАПАР;Коста;Євстахійович;male;2987940008;Field
a1234-j0076;a1234-d023;старший сержант;ПІНЖАНІН;Гуванч;Антонович;male;2591177888;Field
a1234-j0077;a1234-d024;майор;МАЛЮТА;Олексій;Аббуль;male;2517807341;Field
a1234-j0079;a1234-d024;старший солдат;ЛЕЛЮК;Олеся;Станіславівна;female;1693663446;Trip
a1234-j0080;a1234-d025;майор;КОРНЄЙ;Дмитрій;Рудольфович;male;2034695500;Field
a1234-j0081;a1234-d025;лейтенант;ЖАБЕНКО;Тимофій;Денисович;male;2275977188;Field
a1234-j0082;a1234-d025;молодший сержант;ОМЕЛЬЧУК;Сурен;Антатолійович;male;2268336601;Field
a1234-j0083;a1234-d025;молодший сержант;ОСІПЧУК;Остап;Родіонович;male;1895923228;Field
a1234-j0084;a1234-d025;солдат;КАЛИНІВ;Арнольд;Мар'янович;male;2185091922;Field
a1234-j0085;a1234-d025;солдат;ДІГАНШИНА;Аліна;Георгіївна;female;2624888090;Field
a1234-j0086;a1234-d026;майстер-сержант;МАРКІВ;Валерій;Мирославович;male;2004916948;Field
a1234-j0087;a1234-d026;старший солдат;БЕЗБАБНА;Ноєм;Петрівна;female;1818175874;Hospital
a1234-j0089;a1234-d027;старший солдат;МАНЯК;Борис;Мухтаралійович;male;1230466683;Field
a1234-j0090;a1234-d027;солдат;КУЧЕР;Іродіон;Рудольфович;male;1995210888;Field
a1234-j0091;a1234-d027;солдат;МОСАЛЕЦЬ;Герман;Антонович;male;2588317348;Vocation
a1234-j0093;a1234-d027;солдат;ІВАНЕНКО;Ярослав;Зеновійович;male;1392377239;Field
a1234-j0094;a1234-d028;підполковник;ПОЛУСМЯК;Семен;Нариманович;male;2434850038;Field
a1234-j0096;a1234-d028;лейтенант;ВЕРНЕЙ;Андріан;Орестович;male;1385404834;Field
a1234-j0097;a1234-d028;капітан;ВОЗНЮК;Кирило;Таіровіч;male;2673354563;Field
a1234-j0098;a1234-d028;штаб-сержант;ЛАЙТАРЧУК;Гуванч;Гурамович;male;1635053746;Field
a1234-j0099;a1234-d028;сержант;НІКОЛАЙЧУК;Анастасія;Андріївна;female;2552841636;Field
a1234-j0100;a1234-d029;старший лейтенант;ТОНКОШКУР;Альберт;Нариманович;male;1478244664;Field
a1234-j0102;a1234-d030;старший лейтенант медичної служби;ПОЛІНЧУК;Тарас;Семенович;male;2007803106;Field
a1234-j0103;a1234-d030;лейтенант;МОТРУК;Любомир;Васильльович;male;2617230797;Field
a1234-j0104;a1234-d031;майор;ПОПОВ;Герман;Лутович;male;2188777072;Field
a1234-j0105;a1234-d031;лейтенант;СЛУЧИК;Владлен;Михайлович;male;2623590371;Field
a1234-j0107;a1234-d031;солдат;БУЛАВА;Леся;В’ячеславівна;female;2382176975;Field
a1234-j0108;a1234-d031;старший солдат;ЧЕЛОВЯН;Єлизавета;Вадимівна;female;2085331414;Field
a1234-j0109;a1234-d031;солдат;БІЛОУСОВА;Даяна;Юріївна;female;1465704893;Field
a1234-j0110;a1234-d031;старший солдат;НАПРАСНИК;Аліна;Петрівна;female;1727205729;Field
a1234-j0111;a1234-d031;старший солдат;МАРКЕВИЧ;Остап;Костянтинович;male;1250458994;Field
a1234-j0112;a1234-d031;працівник ЗСУ;ГОРІНОВА;Яна;Борисівна;female;2938644292;
a1234-j0113;a1234-d031;працівник ЗСУ;РАЙЧЕНКО;Надія;Станіславівна;female;1343122928;
a1234-j0114;a1234-d031;працівник ЗСУ;ЄВТУШЕНКО;Леся;Петросівна;female;1073024314;
a1234-j0115;a1234-d031;працівник ЗСУ;САМАРСЬКА;Марина;Георгіївна;female;2364211595;
a1234-j0116;a1234-d031;працівник ЗСУ;ГОРІНОВА;Маргарита;Анатоліївна;female;2959853808;
a1234-j0117;a1234-d032;підполковник;КЛЮЧТА;Мікаель;Абдулфат огли;male;2836744231;Field
a1234-j0118;a1234-d033;майор;ДУТКАЧ;Леонід;Микитович;male;2163730989;Field
a1234-j0120;a1234-d033;старший лейтенант;ФЕДОРОВ;Дорін;Тахірович;male;1818381024;Field
a1234-j0122;a1234-d033;молодший сержант;НЕТИМЕНКО;Оксана;Георгіївна;female;2866418686;Field
a1234-j0123;a1234-d034;майор;СТАРЧЕНКО;Данило;Андрійович;male;2205900389;Field
a1234-j0124;a1234-d034;майор;БАЛАБАНОВ;Тофік;Тарасович;male;2134718581;Field
a1234-j0125;a1234-d035;капітан;СУСЯК;Семен;Любомирович;male;1625736106;Field
a1234-j0126;a1234-d035;капітан;ГНІЗДІЛОВ;Тофік;Михайлович;male;2502106414;Field
a1234-j0128;a1234-d035;старший солдат;ГОРБАТЕНКО;Надія;Василівна;female;2106506380;Vocation
a1234-j0129;a1234-d036;капітан;АНДРЕЇВ;Радіон;Гаврилович;male;2221254541;Field
a1234-j0131;a1234-d036;старший солдат;НЕЩЕРЕТНА;Вікторія;Федорівна;female;2073664669;Field
a1234-j0132;a1234-d036;старший солдат;ЧЕЛОВЯН;Валерія;Станіславівна;female;2275366621;Field
a1234-j0134;a1234-d037;молодший лейтенант;СОКОЛЮК;Андрій;Лутович;male;2837202042;Hospital
a1234-j0136;a1234-d038;підполковник;БІЛЬЧЕНКО;Роланд;Віктрович;male;1876125415;Field
a1234-j0137;a1234-d038;старший лейтенант;ЧУЛКОВ;Артур;Азерович;male;2159434258;Field
a1234-j0138;a1234-d038;капітан;МОЛОЧЕНКО;Мурад;Івнович;male;1831003789;Field
a1234-j0140;a1234-d039;майор;МОНЗУЛЬ;Мікаель;Георгійович;male;2799853221;Field
a1234-j0141;a1234-d040;майор;БУЙНИЙ;Валерій;Олександрович;male;2928077443;Field
a1234-j0142;a1234-d040;лейтенант;ШЕРЕТ;Роланд;Дмитрович;male;2516308402;Field
a1234-j0144;a1234-d041;майор;ЩЕТИНКІН;Михайло;Йосифович;male;1675500582;Field
a1234-j0148;a1234-d043;майор;ПАНАСЮК;Юрій;Мерабович;male;1896830094;Field
a1234-j0149;a1234-d043;майор;ЧУЛКОВ;Данил;Радувич;male;2375740248;Field
a1234-j0150;a1234-d044;старший лейтенант;КОРКОЦ;Радіон;Чариєвич;male;1132147222;Field
a1234-j0152;a1234-d044;солдат;СУНДУКОВ-МАСЛЕННІКОВ;Рустам;Амангельдийович;male;1988779185;Field
a1234-j0153;a1234-d044;старший солдат;БЕЗБАБНА;Ноєм;Григорівна;female;2202253441;Field
a1234-j0155;a1234-d045;старший лейтенант;СЕМУШКО;Ганна;Станіславівна;female;2640924488;Field
a1234-j0156;a1234-d045;старший солдат;ЛЕЛЮК;Даяна;Михайлівна;female;2996069000;Field
a1234-j0157;a1234-d046;старший лейтенант;КАСІМОВ;Антон;Романович;male;2772517401;Trip
a1234-j0158;a1234-d046;молодший лейтенант;ЗАЯЦЬ;Сорін;Васильльович;male;2057782110;Field
a1234-j0159;a1234-d046;старший солдат;БІЛОУСОВА;Маргарита;Анатоліївна;female;1149547055;Field
a1234-j0161;a1234-d047;майор;ВЕЛИЧКО;Радіон;Тарієлович;male;1130071433;Field
a1234-j0162;a1234-d047;старший сержант;СОКОЛОВИЧ;Ілля;В'ячеславович;male;2333504914;Field
a1234-j0164;a1234-d049;майор;КАЗМІРЧУК;Іслам;Вахтангович;male;2492407317;Vocation
a1234-j0165;a1234-d049;капітан;ПЕТРУК;Маіл;Любомирович;male;1313973843;Field
a1234-j0166;a1234-d049;капітан;КІЦИНЕНКО;Василь;Зіновійович;male;1349682822;Field
a1234-j0168;a1234-d049;головний сержант;ЧОРНУХА;Гуванч;Аббуль;male;1407332783;Field
a1234-j0169;a1234-d050;капітан;РОДІН;Валентин;Віктрович;male;1576005666;Field
a1234-j0170;a1234-d051;старший лейтенант;ТРУШИК;Олег;Євгенійович;male;2609278219;Vocation
a1234-j0171;a1234-d051;солдат;КРИВОЛАПЧУК;Іхтіяр;Радувич;male;1597953096;Field
a1234-j0175;a1234-d053;капітан;ТУРА;Расул;Таіровіч;male;1217062120;Field
a1234-j0176;a1234-d053;солдат;ФОСТІЙ;Федот;Вікторович;male;1329894567;Field
a1234-j0177;a1234-d054;капітан;ДУДКА;Мар'ян;Артурович;male;2770181980;Field
a1234-j0179;a1234-d054;лейтенант;ЛІДЄР;Семен;Тимофійович;male;2582784899;Vocation
a1234-j0180;a1234-d055;лейтенант;ЯМПОЛЬСЬКИЙ;Мірча;Євгенович;male;2027071623;Field
a1234-j0183;a1234-d056;штаб-сержант;КРИВОРУЧКО;Радіон;Павлович;male;1979203271;Field
a1234-j0185;a1234-d057;молодший лейтенант;ФІЗЕР;Олесь;Ігоревич;male;2162531009;Field
a1234-j0186;a1234-d057;сержант;ГРИНЮК;Мурат;Зіновійович;male;1441522189;Field
a1234-j0188;a1234-d058;солдат;ЄФРОСІНІН;Захар;Миколайович;male;1341860295;Vocation
a1234-j0190;a1234-d059;лейтенант;ЛЕВІНСОН;Олексій;Аркадійович;male;1574809390;Field
a1234-j0191;a1234-d059;лейтенант;ТАРАСЮК;Арсен;Васильович;male;2442948297;Field
a1234-j0192;a1234-d059;молодший сержант;МОСКАЛЕНКО;Дамір;Зіновійович;male;2948816643;Field
a1234-j0194;a1234-d059;старший сержант;ПАЩИН;Василь;Павлович;male;2704950175;Field
a1234-j0196;a1234-d059;старший солдат;МАШИКА;Кирило;Зайірович;male;2610949127;Field
a1234-j0198;a1234-d059;солдат;МАЛАНЧУК;Олег;Джемалович;male;1819652196;Field
a1234-j0200;a1234-d060;старший солдат;ЧУГАЙДА;Іродіон;Еугінєюсович;male;2057729448;Field
a1234-j0201;a1234-d060;солдат;ШПЕНИК;Семен;Мірчевич;male;2200488723;Field
a1234-j0202;a1234-d061;солдат;ЛЕБІДЬ;Федор;Петрович;male;1939051000;Field
a1234-j0203;a1234-d061;старший солдат;БИЦАНЬОВ;Остап;Сергійович;male;1689461940;Field
a1234-j0204;a1234-d061;старший солдат;ДЯГОВЕЦЬ;Василь-Сергій;Гуммет огли;male;1412810237;Hospital
a1234-j0205;a1234-d061;солдат;НАУМОВ;Олександр;Віталійович;male;2715531801;Field
a1234-j0206;a1234-d061;солдат;ШУВАЛОВ;Кирил;Вадимович;male;1610529171;Field
a1234-j0208;a1234-d061;солдат;ТОНКИХ;Зайір;Єгорович;male;1427125696;Field
a1234-j0209;a1234-d061;солдат;ГОЛОСОВ;Герман;Аркадійович;male;1532844348;Hospital
a1234-j0210;a1234-d061;солдат;ТЕРЕЩЕНКО;Орест;Станіславович;male;1291182907;Field
a1234-j0211;a1234-d061;солдат;ЧЕРЕДНИЧОК;Максим;Дмитрович;male;2963786929;Hospital
a1234-j0212;a1234-d062;солдат;АДАЖІНІК;Ярослав;Павлович;male;2785345544;Field
a1234-j0213;a1234-d062;молодший сержант;ТИГИПО;Мірча;Гаврилович;male;2508096126;Field
a1234-j0214;a1234-d062;солдат;ЗАВАДСЬКИЙ;Радіон;Яремович;male;2365664703;Field
a1234-j0215;a1234-d062;старший солдат;ЄРЕШКО;Тофік;Чариєвич;male;1147810639;Vocation
a1234-j0216;a1234-d062;солдат;ОЛЕКСЮК;Єгор;Аббуль;male;2635323048;Field
a1234-j0217;a1234-d062;солдат;ДЕРКАЧ;Мар'ян;Йосипович;male;2020044447;Field
a1234-j0218;a1234-d062;солдат;ДАВИДОВ;Кирило;Айигович;male;2774096486;Hospital
a1234-j0219;a1234-d062;солдат;ДЕНЕСЮК;Арсен;Абдулфат огли;male;2613091320;Field
a1234-j0220;a1234-d062;солдат;ТЕТЕРУЩЕНКО;Владилен;Володимирвич;male;2671805799;Field
a1234-j0221;a1234-d062;солдат;РІБУН;Іван;Андрійович;male;2185787033;Field
a1234-j0222;a1234-d063;старший сержант;ГАРБУЛІНСЬКИЙ;Гліб;Тимофійович;male;1204677562;Field
a1234-j0225;a1234-d063;солдат;ДМИТРУСЬ;Умар;Тангаторович;male;2049075895;Hospital
a1234-j0226;a1234-d063;молодший сержант;МАТКІВСЬКИЙ;Денис;Федорович;male;2152858788;Field
a1234-j0227;a1234-d063;солдат;СУПРУН;Ростислав;Вячеславович;male;2183891367;Hospital
a1234-j0228;a1234-d063;солдат;ГЕЛЕР;Гліб;Нариманович;male;2050554286;Field
a1234-j0229;a1234-d063;солдат;ВОЙТОВИЧ;Нікіта;Костянтинович;male;2681511411;Hospital
a1234-j0230;a1234-d063;солдат;ВІЗЕРСЬКИЙ;Артем;Романвич;male;1625488236;Field
a1234-j0231;a1234-d063;солдат;МОЖАРІВСЬКИЙ;Ярослав;Івнович;male;2001202913;Hospital
a1234-j0232;a1234-d064;старший солдат;ДЕРЕВЯНКО;Прокоп;Денисович;male;1049515201;Field
a1234-j0233;a1234-d064;солдат;КРИШТАНОВИЧ;Дмитрій;Євстахійович;male;2023636463;Field
a1234-j0234;a1234-d064;солдат;РЯБЧЕНКО;Ян;Болеславович;male;1363069815;Field
a1234-j0235;a1234-d064;солдат;ДУМА;Любомир;Данеїлович;male;1105095725;Field
a1234-j0236;a1234-d064;солдат;ЗОЗУЛЯ;Михайло-Юрій;Іларіонович;male;1367075914;Field
a1234-j0237;a1234-d064;старший солдат;БІЗІН;Арсен;Аркадійович;male;1085188970;Field
a1234-j0238;a1234-d064;солдат;МІЩЕКО;Кирил;Борисович;male;2032305083;Field
a1234-j0239;a1234-d064;солдат;ВАСЮТА;Федот;Михйлович;male;2101998620;Field
a1234-j0240;a1234-d064;солдат;АНДРЮШИН;Євгеній;Мірчевич;male;2377255699;Field
a1234-j0241;a1234-d064;солдат;КОРНІЙЧУК;Фірад;Вілінович;male;2431561840;Hospital
a1234-j0243;a1234-d065;молодший сержант;БУЛГАКОВ;Семен;Тарієлович;male;1805383634;Hospital
a1234-j0244;a1234-d065;солдат;КРАМАРЕНКО;Орест;Яремович;male;1819729896;Field
a1234-j0245;a1234-d066;солдат;КОНОВАЛОВ;Віктор;Юліанович;male;1522405347;Field
a1234-j0246;a1234-d066;старший солдат;САГАЛЬ;Василь-Сергій;Данилович;male;1374112052;Field
a1234-j0247;a1234-d066;солдат;ІГНАТЮК;Петро;Ілкович;male;1036185351;Field
a1234-j0248;a1234-d066;солдат;ДЯДІЧ;Валерій;Артурович;male;1482824600;Hospital
a1234-j0249;a1234-d066;солдат;ПИЛИПЕНКО;Роман;Лутович;male;2978979762;Field
a1234-j0250;a1234-d066;солдат;СОБЧУК;Орест;Сариєвич;male;2968172504;Hospital
a1234-j0251;a1234-d066;солдат;ЦЕРКОВНИЙ;Валерій;Арсенійович;male;1327941368;Field
a1234-j0252;a1234-d066;солдат;ГРАВЧЕНКО;Мурат;Костянтинович;male;1905459733;Field
a1234-j0253;a1234-d066;солдат;ЛИСЮК;Федор;Дмитрович;male;1629018056;Hospital
a1234-j0254;a1234-d066;солдат;ДІДУСЕНКО;Сергій;Михайлович;male;2898138975;Field
a1234-j0255;a1234-d067;солдат;ЩЕТИНКІН;Марат;Геранович;male;2217998836;Field
a1234-j0256;a1234-d067;солдат;КОШЛЯК;Шахін;Еркинович;male;1446967630;Hospital
a1234-j0257;a1234-d067;солдат;ПЛИС;Коста;Аркадійович;male;1809813560;Field
a1234-j0258;a1234-d067;солдат;КАРПАЧОВ;Іродіон;Гаврилович;male;1093499139;Field
a1234-j0259;a1234-d067;старший солдат;ЗУБЧУК;Максим;Ігоревич;male;2599695717;Hospital
a1234-j0260;a1234-d067;солдат;СТАДНИК;Мар'ян;Еркинович;male;1528548365;Hospital
a1234-j0261;a1234-d067;солдат;ВОЛЯНСЬКИЙ;Федір;Чариєвич;male;1571980185;Field
a1234-j0262;a1234-d067;солдат;АГАПІТОВ;Ярослав;Андрійович;male;1635748273;Field
a1234-j0263;a1234-d067;солдат;КИШЕНЬКО;Богдан;Єфірович;male;2916516704;Hospital
a1234-j0264;a1234-d067;солдат;ЯНЮК;Владислав;Михайлович;male;2237648297;Field
a1234-j0265;a1234-d068;солдат;ДЕМЧЕНКО;Антон;Валентинович;male;2713554477;Field
a1234-j0266;a1234-d068;солдат;КУНИНЕЦЬ;Василь-Сергій;Вячеславович;male;2281950865;Field
a1234-j0267;a1234-d068;старший солдат;ПОТОРІЙ;Михайло;Єфірович;male;2928595743;Field
a1234-j0268;a1234-d068;солдат;ГУЛІЄВ;Фірад;Миронович;male;1014112563;Field
a1234-j0269;a1234-d068;солдат;ПОЛЄВ;Іван;Романович;male;2506493705;Field
a1234-j0270;a1234-d068;старший солдат;ГОРДЕЙ;Євгеній;Олександрович;male;2931261877;Hospital
a1234-j0271;a1234-d068;солдат;ТОРБА;Євгеній;Федорович;male;1000742844;Field
a1234-j0272;a1234-d068;солдат;НУРАДІЛОВ;Мікаель;Євстахійович;male;1314000328;Field
a1234-j0273;a1234-d068;солдат;МОЙСІЄНКО;Дмитрій;Аркадійович;male;2027126632;Field
a1234-j0274;a1234-d068;солдат;ДВОРСЬКИЙ;Маіл;Тимофійович;male;2877605393;Field
a1234-j0275;a1234-d069;солдат;ПОДЛІСЕЦЬКИЙ;Гуванч;Сергійович;male;1370146031;Field
a1234-j0276;a1234-d069;старший солдат;ЩИГОЛЬ;Мурат;Вахтангович;male;1046367824;Field
a1234-j0278;a1234-d069;солдат;МАЗНИК;Сурен;Богданович;male;2998383832;Field
a1234-j0279;a1234-d069;солдат;ГРУШИЦЬКИЙ;Ігорь;Мірчевич;male;1878949414;Field
a1234-j0280;a1234-d069;солдат;МОІСЕЄНКО;Борис;Вікторович;male;2821328553;Field
a1234-j0281;a1234-d069;солдат;УФІМЦЕВ;Борис;Антатолійович;male;2790792276;Field
a1234-j0282;a1234-d069;солдат;ДИБЧИНСЬКИЙ;Василь;Зенонович;male;1965724369;Field
